facility_id_cphl,Facility_CPHL,Level,Hub,DHIS2_Facility_Sync,Level_DHIS2,Facility_uid,Coordinates_DHIS2,Ownership_DHIS2,Authority_DHIS2,Subcounty_DHIS2,Subcounty_uid,District_CPHL,District_DHIS2,District_uid,Region_CPHL,Region_DHIS2,Region_uid
,Buyinja HC IV,HC IV,Buyinja Hub,Buyinja  HC IV,HC IV,NnSbfZjOXJd,"[33.87629,0.33580]",Government,MOH,Namayingo Town Council,Ut0ysYGEipO,Namayingo,Namayingo District,Ut0ysYGEipO,East Central,Eastern Region,adZ6T35ve4h
,Buyoga HC III,HC III,Ssembabule Hub,Buyoga HC III,HC III,RlulmyGd2XY,"[31.63779,-0.26398]",Private Not For Profit,UCMB,Kibinge Subcounty,Ame30QOwuX6,Bukomansimbi,Bukomansimbi District,Ame30QOwuX6,Central 1,Central Region,VA90IqaI4Ji
,Buyombo HC II,HC II,Buyinja Hub,Buyombo  HC II,HC II,pLbsnCMz2UB,"[33.87584,0.34291]",Government,MOH,Banda Subcounty,Ut0ysYGEipO,Namayingo,Namayingo District,Ut0ysYGEipO,East Central,Eastern Region,adZ6T35ve4h
,Buzibwera HC IV,HC IV,Mbarara Hub,Bwizibwera HC IV,HC IV,SMkx58aUYtC,"[30.57328,-0.43403]",Government,MOH,Rwanyamahembe Subcounty,auswb7JO9wY,Mbarara,Mbarara District,auswb7JO9wY,South Western,Western Region,auJdpeHbeet
,Buziika HC II,HC II,Kawolo Hub,Buziika HC II,HC II,WfEOwsEOMbc,"[33.1846,0.39062]",Government,MOH,Nyenga Subcounty,x75Yh65MaUa,Buikwe ,Buikwe District,x75Yh65MaUa,Central 2,Central Region,VA90IqaI4Ji
,Buziirasagama HC II,HC II,FortPortal Hub,Buzirasagama HC II,HC II,ZAhGP8KMuzQ,"[30.33746,0.63006]",Private For Profit,Local Government,Busoro Subcounty,m77oR1YJESj,Kabarole,Kabarole District,m77oR1YJESj,Mid Western,Western Region,auJdpeHbeet
,Bwama HC III,HC III,Kabale Hub,Bwama HC III,HC III,aG1YMQc0jte,"[29.92360,-1.294800]",Government,MOH,Kabale Kitumba Subcounty,zBIpPzKYFLp,Kabale,Kabale District,zBIpPzKYFLp,South Western,Western Region,auJdpeHbeet
,Bwambara HC III,HC III,Nyakibale Hub,Bwambara HC III,HC III,ACeIX77jOBg,"[29.78514,-0.60238]",Government,MOH,Bwambara Subcounty,tugqr4dY6wq,Rukungiri,Rukungiri District,tugqr4dY6wq,South Western,Western Region,auJdpeHbeet
,Bweema HC III,HC III,Kayunga Hub,Bweema HC III,HC III,G6GmMEAZA9r,"[33.18522,0.10486]",Government,MOH,Bweema Subcounty,aZLZPPjqft0,Buvuma,Buvuma District,aZLZPPjqft0,Central 2,Central Region,VA90IqaI4Ji
,Bwendero HC III,HC III,Kalangala Hub ,Bwendero HC III,HC III,yOzYKPK76Bq,"[32.22749,-0.44357]",Government,MOH,Bujumba Subcounty,JrHILmtK0OU,Kalangala,Kalangala District,JrHILmtK0OU,Central 1,Central Region,VA90IqaI4Ji
,Bwera Hospital ,Hospital,Kagando Hub,Bwera HOSPITAL,General Hospital,HLeMhK9q6Wm,"[29.76640,0.03421]",Government,MOH,Mpondwe - Rubiriha T.C,aa8xVDzSpte,Kasese,Kasese District,aa8xVDzSpte,Mid Western,Western Region,auJdpeHbeet
,Bweyogerere HC III,HC III,Entebbe Hub,Bweyogerere HC III,HC III,cmB5Q4tejGP,"[32.677874,0.358693]",Government,MOH,Kira Town Council,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Bweyogerere HC III Muslim,HC III,Entebbe Hub,,,,,,,,,Wakiso,,,Central 1,,
,Bwijanga HC IV,HC IV,Masindi Hub,Bwijanga HC IV,HC IV,ap3Cu39yPkF,"[31.58335,1.530105]",Government,MOH,Bwijanga Subcounty,xr8EMirOASp,Masindi ,Masindi District,xr8EMirOASp,Mid Western,Western Region,auJdpeHbeet
,Bwikara HC III,HC III,Kagadi Hub,Bwikara HC III,HC III,NQaX9PnpOiB,"[30.703334,0.942654]",Government,Local Government,Bwikara Subcounty,orgY0d5MJa9,Kagadi,Kagadi District,orgY0d5MJa9,Mid Western,Western Region,auJdpeHbeet
,Bwikinda   HC III,HC III,Kabale Hub,,,,,,,,,Kabale,,,South Western,,
,Bwindi Community Hospital,Hospital,Kanungu Hub,Bwindi Community Hospital,General Hospital,VES7ks4zElA,"[29.61679,-0.96383]",Private Not For Profit,UPMB,Kanungu Kayonza Subcounty,aphcy5JTnd6,Kanungu,Kanungu District,aphcy5JTnd6,South Western,Western Region,auJdpeHbeet
,Bwindi HC III,HC III,Kabale Hub,Bwindi HC III,HC III,ZhpuIm9GBog,"[29.980191,-1.153961]",Government,MOH,Nyamweru Subcounty,wZrfAgC3WrU,Rubanda,Rubanda District,wZrfAgC3WrU,South Western,Western Region,auJdpeHbeet
,Bwizi HC III,HC III,Rukunyu Hub ,Bwizi HC III,HC III,a3HP4aNtOMO,"[30.72607,0.38972]",Government,MOH,Bwizi Subcounty,uCVQXAdKqL9,Kamwenge,Kamwenge District,uCVQXAdKqL9,Mid Western,Western Region,auJdpeHbeet
,Bwizibwera HC IV ,HC IV,Mbarara Hub,Bwizibwera HC IV,HC IV,SMkx58aUYtC,"[30.57328,-0.43403]",Government,MOH,Rwanyamahembe Subcounty,auswb7JO9wY,Mbarara,Mbarara District,auswb7JO9wY,South Western,Western Region,auJdpeHbeet
,Bwondha HC II,HC II,Kigandalo hub,Bwondha HC II,HC II,aHrBkRnFBmb,"[33.56603,0.17364]",Government,MOH,Mayuge Malongo Subcounty,mv4gKtY0qW8,Mayuge,Mayuge District,mv4gKtY0qW8,East Central,Eastern Region,adZ6T35ve4h
,Bwongyera HC III,HC III,Itojo Hub,Bwongyera HC III,HC III,mypOsu7U27g,"[30.08335,-0.81668]",Government,MOH,Bwongyera Subcounty,hAoe9dhZh9V,Ntungamo,Ntungamo District,hAoe9dhZh9V,South Western,Western Region,auJdpeHbeet
,Byakabanda HC III,HC III,Rakai Hub,Byakabanda HC III,HC III,tnBn02e8bRU,"[31.38472,-0.75950]",Government,MOH,Byakabanda Subcounty,P8iz90eiIrW,Rakai,Rakai District,P8iz90eiIrW,Central 1,Central Region,VA90IqaI4Ji
,Cardinal Nsubuga HC III,HC III,Mityana Hub,Cadinal Nsubuga Memorial HC III,HC III,aNwwYe1P90o,"[32.05364,0.28916]",Private Not For Profit,UCMB,Butayunja Subcounty,Q7PaNIbyZII,Mityana,Mityana District,Q7PaNIbyZII,Central 2,Central Region,VA90IqaI4Ji
,Case Hospital,Hospital,Kampala Hub,Case Medical Centre,Clinic,aT1aouq7op5,0,Private For Profit,Local Government,Kampala Central Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
,CBHA -USAID Project (RHU)- Kanungu,Special Clinic,Kanungu Hub,,,,,,,,,Kanungu,,,South Western,,
,CBHA-USAID RHU Project -Kabale,Special Clinic,Kabale Hub,,,,,,,,,Kabale,,,South Western,,
,Chahafi HC IV,HC IV,Kisoro Hub,Chahafi HC IV,HC IV,aK1GSPJrhjK,"[29.77342,-1.33516]",Government,MOH,Murora Subcounty,aPhSZRinfbg,Kisoro,Kisoro District,aPhSZRinfbg,South Western,Western Region,auJdpeHbeet
,Chandaria Medical Centre,Medical Centre,Kampala Hub,Charis HC III,HC III,Kc7UIYCljdS,"[32.88631,2.24610]",Private For Profit,0,Ojwina Division,Lj8t70RYnEt,Kampala,Lira District,Lj8t70RYnEt,Kampala,Northern Region,pz9Uu65Irbg
,Charis HC III,HC III,Lira Hub,Charis HC III,HC III,Kc7UIYCljdS,"[32.88631,2.24610]",Private For Profit,0,Ojwina Division,Lj8t70RYnEt,Lira,Lira District,Lj8t70RYnEt,Mid Northern,Northern Region,pz9Uu65Irbg
,Chawente HC III,HC III,Apac Hub ,Chawente HC III,HC III,tvw7mudvx3r,"[32.65179,1.78781]",Government,MOH,Chawente Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
,Chawente HC IV,HC IV,Apac Hub ,,,,,,,,,Apac,,,Mid Northern,,
,Chebonet HC III,HC III,Kapchorwa Hub,Chebonet HC III,HC III,Cxa96htrVdt,"[34.38773,1.35602]",Government,MOH,Munarya Subcounty,aginheWSLef,Kapchorwa,Kapchorwa District,aginheWSLef,Mid Eastern,Eastern Region,adZ6T35ve4h
,Chegere HC II,HC II,Apac Hub ,Chegere HC II,HC II,RtLANRdFvdh,"[32.51268,2.09762]",Government,MOH,Chegere Subcounty,JyZJhGXKeEq,Apac,Apac District,JyZJhGXKeEq,Mid Northern,Northern Region,pz9Uu65Irbg
,Chemwon HC III,HC III,Kapchorwa Hub,Chemwom HC III,HC III,mhJpqcMZSMv,"[34.5025,1.38854]",Government,MOH,Benet Subcounty,h1O9AvNR4jS,Kween,Kween District,h1O9AvNR4jS,Mid Eastern,Eastern Region,adZ6T35ve4h
,Chepsukunya HC II,HC II,Kapchorwa Hub,Chepsukunya HC II,HC II,wITceG8YRXg,"[34.51909,1.57194]",Government,MOH,Ngenge Subcounty,h1O9AvNR4jS,Kapchorwa,Kween District,h1O9AvNR4jS,Mid Eastern,Eastern Region,adZ6T35ve4h
,Cheptapoyo HC II,HC II,Tokora Hub,Cheptapoyo HC II,HC II,m8Gp4sDZ9YT,"[34.94363,1.66444]",Government,MOH,Karita Subcounty,a8RHFdF4DXL,Amudat,Amudat District,a8RHFdF4DXL,North East,Northern Region,pz9Uu65Irbg
,Cheptuya HC III,HC III,Kapchorwa Hub,Cheptuya HC III,HC III,mOxAHl3KoLP,"[34.371085,1.366047]",Government,MOH,Kapsinda Subcounty,aginheWSLef,Kapchorwa,Kapchorwa District,aginheWSLef,Mid Eastern,Eastern Region,adZ6T35ve4h
,Chesower HC III,HC III,Kapchorwa Hub,Chesower HC III,HC III,Ny6gpfiiHon,"[34.66169,1.34089]",Government,MOH,Chesower Subcounty,e8m9ZYMRoeR,Bukwo,Bukwo District,e8m9ZYMRoeR,Mid Eastern,Eastern Region,adZ6T35ve4h
,China Uganda Friendship Hospital- Naguru,Hospital,Kampala Hub,Naguru  Hospital  - China Uganda Friendship,RR Hospital,h40pKp93Mtc,"[32.60657,0.32898]",Government,MOH,Nakawa Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
,Ciforo HC III,HC III,Adjumani Hub,Ciforo HC III,HC III,Y0XE9vH5Oeg,"[31.7112,3.35613]",Government,MOH,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani,Adjumani District,QYiQ2KqgCxj,West Nile,Northern Region,pz9Uu65Irbg
,Cilio HC III,HC III,Arua Hub,Cilio HC III,HC III,v6DcAuQeoeA,"[31.03118,3.19758]",Government,MOH,Aii-Ivu Subcounty,WcB3kLlgRTb,Arua,Arua District,WcB3kLlgRTb,West Nile,Northern Region,pz9Uu65Irbg
,Comboni Hospital,Hospital,Bushenyi Hub,Comboni Hospital,General Hospital,OEhMLFc4vaU,"[30.11953,-0.44297]",Private Not For Profit,UCMB,Kyamuhunga Subcounty,It5UGwdHAPF,Bushenyi,Bushenyi District,It5UGwdHAPF,South Western,Western Region,auJdpeHbeet
,Community HC (Kaliro),,Kampala Hub,,,,,,,,,Kaliro,,,East Central,,
,Community HC (Kibuku),,Pallisa Hub,Community Health Center (kibuku) HC III,HC III,vxetMic6GCb,0,Private Not For Profit,0,Kibuku Towncouncil,Oyxwe3iDqpR,Kibuku,Kibuku District,Oyxwe3iDqpR,Mid Eastern,Eastern Region,adZ6T35ve4h
,Community HC Plan uganda Lugoba(Kawempe),Special Clinic,Kampala Hub,COMMUNITY HEALTH PLAN UGANDA,HC II,ws3l8HCEhHB,0,Private For Profit,0,Nabweru Subcounty,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Coope HC II,HC II,Gulu Hub,Coope HC II,HC II,KBjtlZguP00,"[32.27813,2.86143]",Government,MOH,Bungatira Subcounty,Gwk4wkLz7EW,Gulu,Gulu District,Gwk4wkLz7EW,Mid Northern,Northern Region,pz9Uu65Irbg
,Coorom HC II(Koch),HC II,Anaka Hub,Coo-Rom HC II,HC II,rKGazd2JbUJ,"[32.02906,2.63023]",Government,MOH,Koch-Goma Subcounty,zNgVoDVPYgD,Nwoya,Nwoya District,zNgVoDVPYgD,Mid Northern,Northern Region,pz9Uu65Irbg
,CPHL,LAB,Kampala Hub,,,,,,,,,Kampala,,,Kampala,,
,Crane Health Services,Clinic,Wakiso Hub ,Crane Health Care,Clinic,adSg4gJ5FBY,"[32.50266,0.29390]",Private For Profit,0,Nsangi Subcounty,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Cure Children Hospital of Uganda,Special Clinic,Mbale Hub,Cure Children's Hospital,General Hospital,SoOVoe9z5U6,"[34.171724,1.073644]",Private Not For Profit,UPMB,Industrial Division,yuo5ielNL7W,Mbale,Mbale District,yuo5ielNL7W,Mid Eastern,Eastern Region,adZ6T35ve4h
,Cwenyiy HC III,HC III,Kapchorwa Hub,,,,,,,,,Kween,,,Mid Eastern,,
,Cwero HC III,HC III,Gulu Hub,Cwero HC III,HC III,apGje3lIGEP,"[32.51411,2.92257]",Government,MOH,Paicho Subcounty,Gwk4wkLz7EW,Gulu,Gulu District,Gwk4wkLz7EW,Mid Northern,Northern Region,pz9Uu65Irbg
,Dabani Hosipital,HC IV,Masafu Hub,Dabani HOSPITAL,General Hospital,AhDvE2o9F3L,"[34.051798,0.439779]",Private Not For Profit,UCMB,Dabani Subcounty,lkuO79O6mRx,Busia,Busia District,lkuO79O6mRx,Mid Eastern,Eastern Region,adZ6T35ve4h
,Dakabela HC III,HC III,Soroti Hub,Dakabela HC III,HC III,CqefEf18FFW,"[33.62551,1.86022]",Government,MOH,Arapai Subcounty,srmGjHrpVE5,Soroti,Soroti District,srmGjHrpVE5,North East,Eastern Region,adZ6T35ve4h
,Ddamba HC II,HC II,Kayunga Hub,Damba HC II,HC II,UPSV6y2j0B0,"[32.79954,0.00006]",Government,MOH,Kkoome Island Subcounty,a0DfYpC2Rwl,Mukono ,Mukono District,a0DfYpC2Rwl,Central 2,Central Region,VA90IqaI4Ji
,Ddungi HC II,HC II,Kawolo Hub,Ddungi HC II,HC II,k7sazN1EJ0o,"[33.05145,0.24790]",Government,MOH,Ngogwe Subcounty,x75Yh65MaUa,Buikwe ,Buikwe District,x75Yh65MaUa,Central 2,Central Region,VA90IqaI4Ji
,Dibolyec HC II,HC II,Madi Opei Hub,Dibolyec HC II,HC II,XBRMWAS3FO2,"[32.74091,3.66035]",Government,MOH,Lokung Subcounty,xy0M4HhjXtD,Lamwo,Lamwo District,xy0M4HhjXtD,Mid Northern,Northern Region,pz9Uu65Irbg
,Diika HC II,HC II,kiryandongo Hub,Diika HC II,HC II,Ya7rTeUc2Dy,"[32.07175,1.96372]",Government,MOH,Kiryandongo Subcounty,B0G9cqixld8,Kiryandongo,Kiryandongo District,B0G9cqixld8,Mid Western,Western Region,auJdpeHbeet
,Diima HC III,HC III,kiryandongo Hub,Diima HC III,HC III,xO0dHAa2wFK,"[32.22003,2.16412]",Government,MOH,Mutunda Subcounty,B0G9cqixld8,Kiryandongo,Kiryandongo District,B0G9cqixld8,Mid Western,Western Region,auJdpeHbeet
,Dino HC II,HC II,Lalogi Hub ,Dino HC II,HC II,yEukLFOEQ1X,"[32.63609,2.72286]",Government,MOH,Odek Subcounty,S5fvUXgY54J,Gulu,Omoro District,S5fvUXgY54J,Mid Northern,Northern Region,pz9Uu65Irbg
,Diocese Of Kitgum HC II,HC II,Kitgum Hub,,,,,,,,,Kitgum,,,Mid Northern,,
,District Medical Officer's Clinic HC II,HC II,Moroto Hub,,,,,,,,,Moroto,,,North East,,
,Doctors Hospital Sseguku,Special Clinic,Entebbe Hub,Doctors  Clinic Seguku Maternity And Dental CLINIC,Clinic,BL7K7k0SrYh,0,Private For Profit,0,Ssabagabo-Makindye Subcounty,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Dohwe HC II,HC II,Buyinja Hub,Dohwe HC II,HC II,uR2pjJIMiTl,0,Government,MOH,Buhemba Subcounty,Ut0ysYGEipO,Namayingo,Namayingo District,Ut0ysYGEipO,East Central,Eastern Region,adZ6T35ve4h
,Dokolo HC IV,HC IV,Dokolo Hub,Dokolo HC IV,HC IV,KBNJtdMGHlZ,"[33.17266,1.919833]",Government,MOH,Dokolo Town Council,wMQ25dybdgH,Dokolo,Dokolo District,wMQ25dybdgH,Mid Northern,Northern Region,pz9Uu65Irbg
,Donna Carnevale Medical Centre,Medical Centre,Mpigi Hub ,Dona Medical Centre HC III,HC III,rmyUGedzWB2,0,Private Not For Profit,CSO,Nkozi Subcounty,YMMexeHFUay,Mpigi,Mpigi District,YMMexeHFUay,Central 1,Central Region,VA90IqaI4Ji
,Double Cure Medical Centre,HC III,Gombe Hub,Double Cure Med Center CLINIC,Clinic,aOHWQc76Dvu,"[32.31919,0.21152]",Private For Profit,UPMB,Mpigi Town Council,YMMexeHFUay,Mpigi,Mpigi District,YMMexeHFUay,Central 1,Central Region,VA90IqaI4Ji
,Dr Ambrosolic Clinic (Kaliro),Special Clinic,Kamuli Hub,Dr.Ambrosoli HC III,HC III,HzWHiZFqOpb,"[33.40461,1.03399]",Private Not For Profit,Local Government,Kaliro Town Council,kJCEJnXLgnh,Kaliro,Kaliro District,kJCEJnXLgnh,East Central,Eastern Region,adZ6T35ve4h
,Dr Charlse Farthing Memorial Clinic,,Kampala Hub,,,,,,,,,Kampala,,,Kampala,,
,Dramba HC II,HC II,Yumbe Hub,Dramba HC III,HC III,C7aRTKKbxEP,"[31.081911,3.390477]",Government,MOH,Drajini Subcounty,W1JM2Qdhcv3,Yumbe,Yumbe District,W1JM2Qdhcv3,West Nile,Northern Region,pz9Uu65Irbg
,Dranya HC III,HC III,Koboko Hub ,Dranya HC III,HC III,URmGWanfgpn,"[30.95931,3.3674]",Government,MOH,Dranya Subcounty,iqsaGItA68C,Koboko,Koboko District,iqsaGItA68C,West Nile,Northern Region,pz9Uu65Irbg
,Dream Centre Uganda,Special Clinic,Lalogi Hub ,Dream Centre,HC II,fLGGzlZfyOJ,0,NGO,0,Lalogi Subcounty,S5fvUXgY54J,Gulu,Omoro District,S5fvUXgY54J,Mid Northern,Northern Region,pz9Uu65Irbg
,Driate HC III,HC III,Arua Hub,,,,,,,,,Arua,,,West Nile,,
,Dricile HC III,HC III,Koboko Hub ,Dricile HC III,HC III,Nz32J3zs8Cq,"[30.97894,3.47018]",Government,MOH,Midia Subcounty,iqsaGItA68C,Koboko,Koboko District,iqsaGItA68C,West Nile,Northern Region,pz9Uu65Irbg
,Dufile HC III,HC III,Moyo Hub,Dufile HC III,HC III,Dpv2z5tBsQK,"[31.8872,3.56936]",Government,MOH,Dufile Subcounty,W0kQBddyGyh,Moyo,Moyo District,W0kQBddyGyh,West Nile,Northern Region,pz9Uu65Irbg
,Dungi HC II,HC II,Kawolo Hub,,,,,,,,,Buikwe ,,,Central 2,,
,Dwoli HC III,HC III,Hoima Hub,Dwooli HC III,HC III,aPr9XQM36Dn,"[31.34672,1.50386]",Government,MOH,Kitoba Subcounty,PJFtfCyp6Rb,Hoima,Hoima District,PJFtfCyp6Rb,Mid Western,Western Region,auJdpeHbeet
,Dzaipi HC III,HC III,Adjumani Hub,Dzaipi HC III,HC III,Krxa01FAxdW,"[31.9552,3.39322]",Government,MOH,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani,Adjumani District,QYiQ2KqgCxj,West Nile,Northern Region,pz9Uu65Irbg
,Eastern Division HC III,HC III,Soroti Hub,Eastern Div. HC III,HC III,YS1I62rL00h,"[33.62766,1.71331]",Government,MOH,Soroti Eastern Division,srmGjHrpVE5,Soroti,Soroti District,srmGjHrpVE5,North East,Eastern Region,adZ6T35ve4h
,Ebenezer Clinical Laboratory,Special Clinic,Kampala Hub,Ebenezer Med Clinic HC II,HC II,a7L0gQnePTO,0,Private For Profit,0,Nakawa Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
,Ebenezer SDA Medical HC III,HC III,Bundibugyo Hub,Ebenezer SDA HC III,HC III,w1COt9NZVMi,"[30.14470,0.79760]",Private Not For Profit,UPMB,Kasitu Subcounty,g8M1cWRJZV6,Bundibugyo,Bundibugyo District,g8M1cWRJZV6,Mid Western,Western Region,auJdpeHbeet
,Ediofe HC III,HC III,Arua Hub,Ediofe HC III,HC III,sJUxokN1Svo,"[30.89648,3.01559]",Private Not For Profit,UCMB,Pajulu Subcounty,WcB3kLlgRTb,Arua,Arua District,WcB3kLlgRTb,West Nile,Northern Region,pz9Uu65Irbg
,Elema HC II,HC II,Adjumani Hub,Elema HC II,HC II,O4KQDQzBA9s,"[31.90047,3.47763]",Private Not For Profit,0,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani,Adjumani District,QYiQ2KqgCxj,West Nile,Northern Region,pz9Uu65Irbg
,Eliofe HC III,HC III,Arua Hub,Eliofe HC III,HC III,o5I1o1YMVxP,"[30.84101,3.15024]",Government,MOH,Oluvu Subcounty,WyR8Eetj7Uw,Maracha Terego,Maracha District,WyR8Eetj7Uw,West Nile,Northern Region,pz9Uu65Irbg
,Emergency Operations Centre,Special Clinic,Kampala Hub,,,,,,,,,Kampala,,,Kampala,,
,Emesco HC IV,HC IV,Kakindo Hub,EMESCO HC III,HC III,qXpKvhiylZz,0,Private Not For Profit,Local Government,Kibaale Town Council,tM3DsJxMaMX,Kibaale,Kibaale District,tM3DsJxMaMX,Mid Western,Western Region,auJdpeHbeet
,Emmanuel Medical Centre,,Entebbe Hub,Emmanuel Health Care Clinic,Clinic,a8ld81vad1S,"[30.57862,0.64486]",Private For Profit,Local Government,Butiiti Subcounty,O9MoQcpZ4uA,Wakiso,Kyenjojo District,O9MoQcpZ4uA,Central 1,Western Region,auJdpeHbeet
,Endiinzi HC III,HC III,Rwekubo Hub,Endiizi HC III,HC III,HUkwcrf8Ozd,"[31.18088,-0.86677]",Government,MOH,Endiinzi Subcounty,UaR7OHycj8c,Isingiro,Isingiro District,UaR7OHycj8c,South Western,Western Region,auJdpeHbeet
,Enganju HC II,HC II,Nsiika Hub,Engaju HC II,HC II,DIE1bNkw04b,"[30.32354,-0.25918]",Government,MOH,Engaaju Subcounty,sWoNWQZ9qrD,Buhweju,Buhweju District,sWoNWQZ9qrD,South Western,Western Region,auJdpeHbeet
,Engari Community HC,Special Clinic,Rushere Hub,Engari Community HC III,HC III,toGKbXMtRf8,0,Private For Profit,UPMB,Engari Sub County,qf9xWZu7Dq8,Kiruhura,Kiruhura District,qf9xWZu7Dq8,South Western,Western Region,auJdpeHbeet
,Entebbe Grade A Hospital,Hospital,Entebbe Hub,,,,,,,,,Wakiso,,,Central 1,,
,Entebbe Grade B Hospital,Hospital,Entebbe Hub,Entebbe HOSPITAL,General Hospital,yApOnywci25,"[32.47207,0.06410]",Government,MOH,Entebbe Division A,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Epi Centre HC III (Wakiso),HC III,Entebbe Hub,,,,,,,,,Wakiso,,,Central 1,,
,Epi Centre HC IV (Butambala),HC IV,Gombe Hub,,,,,,,,,Butambala,,,Central 1,,
,Equator Health Services,,Kampala Hub,Equator Health Services,HC II,OLmTe5kU6HD,0,Private For Profit,Local Government,Rubaga Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
,Eremi HC III,HC III,Moyo Hub,Eremi HC III,HC III,r7ps4KEp5W9,"[31.8273,3.67363]",Government,MOH,Metu Subcounty,W0kQBddyGyh,Moyo,Moyo District,W0kQBddyGyh,West Nile,Northern Region,pz9Uu65Irbg
,Eria HC III,HC III,Moyo Hub,Eria HC III,HC III,FQETWwqB2VJ,"[31.74861,3.64596]",Government,MOH,Moyo Subcounty,W0kQBddyGyh,Moyo,Moyo District,W0kQBddyGyh,West Nile,Northern Region,pz9Uu65Irbg
,Eseri Domiciliary Clinic,Clinic,Kayunga Hub,Eseri Dominciliary CLINIC,Clinic,idkhOzh2TYJ,0,Private For Profit,Local Government,Mukono Central Division,a0DfYpC2Rwl,Mukono ,Mukono District,a0DfYpC2Rwl,Central 2,Central Region,VA90IqaI4Ji
,Etam HC III,HC III,Amolatar Hub,Etam HC III,HC III,r4txax3dzBl,"[32.702308,1.662688]",Government,MOH,Etam Subcounty,ZuQHWOaFQVM,Amolatar,Amolatar District,ZuQHWOaFQVM,Mid Northern,Northern Region,pz9Uu65Irbg
,FAD Military HC IV,HC IV,Masindi Hub,,,,,,,,,Masindi ,,,Mid Western,,
,Faith Mulira Health Care Center,Health Care Center,Kampala Hub,Faith Mulira Health Care Centre,Clinic,BVulRfStvvn,0,Private For Profit,CSO,Nangabo Subcounty,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Family Care Hospital,Hospital,Wakiso Hub ,Family Care Hospital,General Hospital,ezZNOr0FvGV,0,Private For Profit,UPMB,Kira Town Council,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
,Family Health Resource Centre Kiruhura ,Special Clinic,Rushere Hub,Family Health Resource Centre CLINIC,Clinic,sIXMnx11pLV,0,Private For Profit,Local Government,Kinoni Subcounty,qf9xWZu7Dq8,Kiruhura,Kiruhura District,qf9xWZu7Dq8,South Western,Western Region,auJdpeHbeet
,Family Hope Centre Jinja,Special Clinic,Jinja Hub,Family Hope Center Jinja,HC III,aNxk6ghyV8u,0,Private Not For Profit,Local Government,Jinja Central Division,aJR2ZxSH7g4,Jinja,Jinja District,aJR2ZxSH7g4,East Central,Eastern Region,adZ6T35ve4h
,Family Hope Centre Kampala,Special Clinic,Kampala Hub,Family Hope Center Kampala,Clinic,X0giNVjxX76,0,0,0,Nakawa Division,aXmBzv61LbM,Kampala,Kampala District,aXmBzv61LbM,Kampala,Central Region,VA90IqaI4Ji
,Fastline Medical Centre,Medical Centre,Bugiri Hub,Fast Line Cinic,Clinic,dyD1iVotBI3,0,Private For Profit,Local Government,Bugiri Town council,gUaoj8Geuao,Bugiri,Bugiri District,gUaoj8Geuao,East Central,Eastern Region,adZ6T35ve4h
,FICRD,Special Clinic,Lira Hub,,,,,,,,,Lira,,,Mid Northern,,
,Field Artilary Army Barracks HC IV,Special Clinic,Masindi Hub,,,,,,,,,Masindi ,,,Mid Western,,
,FinlaysMwenge HC III,HC III,Kyenjojo Hub,,,,,,,,,Kyenjojo,,,Mid Western,,
,Focrev HC III,HC III,Masafu Hub,,,,,,,,,Busia,,,Mid Eastern,,
,FortPortal Prisons HC III,HC III,FortPortal Hub,,,,,,,,,Kabarole,,,Mid Western,,
,FortPortal R R Hospital,Regional Referral Hospital,FortPortal Hub,Fort Portal Regional Referral Hospital,RR Hospital,Dt6WipQhr4Q,"[30.2820,0.6550]",Government,MOH,South Division,m77oR1YJESj,Kabarole,Kabarole District,m77oR1YJESj,Mid Western,Western Region,auJdpeHbeet
,Foyer HC III,HC III,Entebbe Hub,Foyer De Charity HC III,HC III,wemMFPlvAuL,"[32.65512,0.39262]",Private Not For Profit,UCMB,Kira Town Council,aIahLLmtvgT,Wakiso,Wakiso District,aIahLLmtvgT,Central 1,Central Region,VA90IqaI4Ji
